Rank,Player,POS,Yahoo,Fantrax,FFC,Sleeper,AVG
1,Jonathan Taylor,RB1,1,,,1,1.0
2,Christian McCaffrey,RB2,2,,,2,2.0
3,Austin Ekeler,RB3,3,,,4,3.5
4,Derrick Henry,RB4,6,,,3,4.5
5,Cooper Kupp,WR1,4,,,5,4.5
6,Justin Jefferson,WR2,5,,,8,6.5
7,Dalvin Cook,RB5,7,,,6,6.5
8,Najee Harris,RB6,9,,,7,8.0
9,Ja'Marr Chase,WR3,8,,,10,9.0
10,Joe Mixon,RB7,11,,,9,10.0
11,Davante Adams,WR4,12,,,11,11.5
12,Stefon Diggs,WR5,10,,,14,12.0
13,D'Andre Swift,RB8,17,,,12,14.5
14,Travis Kelce,TE1,15,,,15,15.0
15,Alvin Kamara,RB9,18,,,13,15.5
16,CeeDee Lamb,WR6,13,,,19,16.0
17,Aaron Jones,RB10,14,,,18,16.0
18,Saquon Barkley,RB11,16,,,17,16.5
19,Nick Chubb,RB12,19,,,16,17.5
20,Tyreek Hill,WR7,24,,,20,22.0
21,Josh Allen,QB1,22,,,22,22.0
22,Leonard Fournette,RB13,20,,,25,22.5
23,Javonte Williams,RB14,25,,,21,23.0
24,Mike Evans,WR8,21,,,26,23.5
25,Deebo Samuel,WR9,23,,,24,23.5
26,Mark Andrews,TE2,26,,,23,24.5
27,Ezekiel Elliott,RB15,28,,,27,27.5
28,James Conner,RB16,29,,,29,29.0
29,Michael Pittman Jr.,WR10,27,,,33,30.0
30,A.J. Brown,WR11,32,,,28,30.0
31,Keenan Allen,WR12,31,,,30,30.5
32,Tee Higgins,WR13,30,,,34,32.0
33,Kyle Pitts,TE3,33,,,31,32.0
34,Patrick Mahomes II,QB2,34,,,32,33.0
35,Justin Herbert,QB3,36,,,36,36.0
36,DJ Moore,WR14,35,,,41,38.0
37,George Kittle,TE4,42,,,35,38.5
38,Travis Etienne Jr.,RB17,43,,,37,40.0
39,Mike Williams,WR15,38,,,43,40.5
40,Breece Hall,RB18,41,,,40,40.5
