#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
31,Travis Kelce,TE,KC,11,15,8.7,7,16.8,16.5,3.1,16.9,15.9,BYE,18.9,8.2,19.6,19.6,14.8,15.8,-,13.9,207.8,32
32,Stefon Diggs,WR,BUF,8.6,21.3,10.9,11.5,10.6,10.6,4.8,9.2,11.8,15.3,BYE,3.9,9.2,19.1,14.7,32.5,7.6,12.6,201.6,33
33,James Robinson,RB,NE,9,18,24.9,10.7,5,11.3,27.7,-,15.9,11.2,9.4,21.9,16.8,8.3,11.3,-,-,14.4,201.4,34
34,Josh Jacobs,RB,LV,31.9,10.5,6.3,7.3,20.5,BYE,3.1,12.9,12.8,25.6,12.4,2.4,-,7.4,17.4,6.9,20.9,13.2,198.3,35
35,Drew Lock,QB,SEA,13.1,-1.2,-,-,-,5.5,15,20.8,30.2,11,12.1,-,12.9,25.6,11,16.1,24.3,15.1,196.3,36
36,Nick Chubb,RB,CLE,4.6,25.3,23,4.3,-,-,-,-,BYE,18.6,11.4,23.6,16.6,22.3,12.6,12.6,16.8,16,191.7,37
37,Calvin Ridley,WR,JAC,24.9,22.9,11.7,0,13.6,12.9,14.9,4.2,-,-,9,11,10.8,18.4,22.3,12.3,2.6,12.8,191.5,38
38,Daniel Jones,QB,NYG,19.4,8.7,9.1,11.1,8.2,14.9,21.7,18.2,12.9,22.2,BYE,10.4,-,3.1,-,14.4,15.9,13.6,190,39
39,DK Metcalf,WR,SEA,15.5,15.2,15,10.6,21.3,BYE,2.3,28.1,16.8,2.8,10.6,17.7,8,12.1,4.3,5.9,2.1,11.8,188.3,40
40,Justin Jefferson,WR,MIN,2.6,4.4,23.5,10.3,2.3,30.6,BYE,2.6,6.4,13.5,14.6,19,18.3,5.9,10.4,8.5,13.3,11.6,186.2,41
41,Kareem Hunt,RB,FA,8.1,22.1,12.4,19.1,15.3,5.7,16.2,7.3,-,13.2,8.1,6.2,5.7,23,2.8,11.2,4.1,11.3,180.5,42
42,Adam Thielen,WR,CAR,25,3.1,9.3,18.2,20.3,11.1,-,2.7,3.8,16.3,24.3,-,13.5,3.9,7.1,15.7,5.7,12,180,43
43,Joe Burrow,QB,CIN,17.3,24.5,20.4,16.1,5.3,17.7,34.6,18.9,BYE,12.5,11.3,-,-,-,-,-,-,17.9,178.7,44
44,Mike Evans,WR,TB,6.2,16.4,12.2,18.2,10.1,1,3.7,11.5,6.4,13.7,10.9,17,BYE,5.6,11,30.1,4.6,11.2,178.6,45
45,A.J. Brown,WR,PHI,3.9,-,-,-,14.2,17.8,21.3,8.4,16.1,2.1,12.2,21.8,6.7,17.2,10.4,4.3,21.1,12.7,177.5,46
46,DeAndre Hopkins,WR,FA,15.1,12.8,13.7,4.1,19.1,7.3,14.3,-,3,18.7,5.1,5.5,11.2,13.6,21,4.8,3.5,10.8,172.8,47
47,Jason Sanders,K,MIA,4,11,7,18,22,6,BYE,4,14,14,10,12,14,10,2,15,9,10.8,172,48
48,Ezekiel Elliott,RB,FA,24.7,16.2,11.8,12.5,22.5,4,5.1,7.3,6.9,-,17.4,1.9,9.5,5.9,-,13.9,12.1,11.4,171.7,49
49,Darren Waller,TE,NYG,4.5,16.5,0.9,6.8,10.8,-,11,2.7,8.2,3.7,14.8,2.3,32,7.5,21,11.2,17.7,10.7,171.6,50
50,Younghoe Koo,K,ATL,9,17,8,-,13,20,2,13,12,BYE,13,21,12,6,11,2,9,11.2,168,51
51,Kenyan Drake,RB,FA,12.5,9.5,7.9,3.5,12.2,28.4,4.1,-,-,8.9,12,21.3,11.8,15,4,11,5.1,11.1,167.2,52
52,Melvin Gordon III,RB,FA,12.6,14.4,3.8,23.8,-,-,10,4.7,2.7,4.6,18.4,3.1,14.2,9.1,20.1,7.9,17,11.1,166.4,53
53,Antonio Gibson,RB,WAS,4.4,11.2,10,18.8,5.1,5.5,18.8,BYE,9.5,18.5,16.4,31.6,1.4,-,-,6.9,8.1,11.9,166.2,54
54,Tyler Lockett,WR,SEA,9.2,12.7,28,3.9,4.4,BYE,38,3.3,4,6.6,12.7,2.3,6.3,5.2,3.4,4.4,21,10.3,165.4,55
55,Gardner Minshew II,QB,IND,20.8,25.5,10.2,21.9,19.8,18.1,19,-,-,-,-,-,-,13.3,15.9,-,-,18.3,164.7,56
56,Mitch Trubisky,QB,PIT,24.3,15.2,12.6,BYE,-,-,-,0.3,-,-,-,20.7,13.3,25,14.5,24.6,11.3,16.2,161.7,57
57,Allen Robinson II,WR,PIT,7.3,3.3,18.3,16.1,9,5.3,7,14.7,8.1,4.3,-,19.4,7.5,18.3,8.3,10.3,3.7,10.1,160.9,58
58,Ryan Fitzpatrick,QB,FA,8.4,24.3,24.2,23.3,27.6,18,-,-,-,-,4.3,19.3,-,0,-,11.3,-,16.1,160.7,59
59,Ronald Jones II,RB,DAL,8.2,8.7,7.3,12.8,12.5,24.1,9.6,2.6,1.8,23.8,2.4,16.3,-,14.4,-,-,13.8,11.3,158.3,60
60,Tyler Bass,K,BUF,9,7,5,6,5,6,23,6,15,18,BYE,11,10,8,12,8,8,9.8,157,61
61,Robert Woods,WR,HOU,11.9,9.3,16.4,3.8,13.1,10,2.5,21.4,-,3.6,18.6,8.8,8.5,3.1,15.6,4.9,3.6,9.7,155.1,62
62,Daniel Carlson,K,LV,12,12,8,13,11,BYE,9,10,7,15,7,6,8,9,9,13,6,9.7,155,63
63,Greg Zuerlein,K,NYJ,5,11,9,2,14,4,4,13,15,BYE,5,10,5,14,13,13,16,9.6,153,64
64,Chase Claypool,WR,CHI,4.7,14.8,2.4,-,35.6,14.1,-0.2,8.2,7.3,17.3,11.9,5.2,3.8,1.5,4.8,5.4,16.1,9.6,152.9,65
65,Marvin Jones Jr.,WR,DET,5.5,8.3,5.1,0.9,BYE,0.8,8,15.9,10.3,15.6,5.1,4.8,17.6,4.8,17.2,1.9,30,9.5,151.8,66
66,Los Angeles Rams,DST,LAR,4,7,4,11,12,0,15,5,BYE,13,5,15,11,21,2,6,20,9.4,151,66
66,Brandin Cooks,WR,DAL,2,9.5,2.3,0,22.1,12.8,6,-,14.3,3.9,8.5,8.5,6.5,-,5.9,20.1,28.6,10.1,151,68
68,Chris Carson,RB,FA,18.6,16.8,7.6,22,13.9,-,4.1,-,-,-,-,11.9,17,15.8,6.9,7.9,8.3,12.6,150.8,69
69,Taysom Hill,TE,NO,4.2,0.8,-1.3,1.4,7.3,BYE,0.6,12.5,9.4,2.5,24.2,18.5,23.6,19.9,6.3,10,10.6,9.4,150.6,70
70,J.K. Dobbins,RB,BAL,14.2,6.1,4.4,1.7,5.5,2.9,BYE,12.1,3.5,1.4,16.5,-,13.1,13.3,14.1,13.7,28,10,150.5,71
71,Rodrigo Blankenship,K,FA,8,15,12,14,11,8,-,3,5,11,15,2,7,14,11,6,8,9.4,150,72
72,Pittsburgh Steelers,DST,PIT,8,13,7,BYE,8,18,2,18,7,12,17,14,3,6,2,9,4,9.3,148,73
