Rank,Player,POS,MFL,Fantrax,FFC,Sleeper,AVG
1,Jonathan Taylor,RB1,,,,1,1.0
2,Christian McCaffrey,RB2,,,,3,2.5
3,Austin Ekeler,RB3,,,,4,3.5
4,Derrick Henry,RB4,,,,2,5.0
5,Dalvin Cook,RB5,,,,5,6.0
6,Cooper Kupp,WR1,,,,7,6.0
7,Najee Harris,RB6,,,,6,6.0
8,Justin Jefferson,WR2,,,,9,6.5
9,Joe Mixon,RB7,,,,8,9.5
10,Ja'Marr Chase,WR3,,,,13,11.0
11,Alvin Kamara,RB8,,,,12,12.0
12,D'Andre Swift,RB9,,,,15,12.5
13,Davante Adams,WR4,,,,11,13.0
14,Nick Chubb,RB10,,,,10,14.5
15,Stefon Diggs,WR5,,,,16,14.5
16,Travis Kelce,TE1,,,,14,15.5
17,Saquon Barkley,RB11,,,,18,16.0
18,Javonte Williams,RB12,,,,22,19.0
19,Aaron Jones,RB13,,,,17,20.0
20,CeeDee Lamb,WR6,,,,19,20.0
21,Josh Allen,QB1,,,,20,20.0
22,Deebo Samuel,WR7,,,,23,20.5
23,Tyreek Hill,WR8,,,,21,22.5
24,Leonard Fournette,RB14,,,,24,23.0
25,Mark Andrews,TE2,,,,25,25.0
26,Mike Evans,WR9,,,,26,27.0
27,James Conner,RB15,,,,28,27.0
28,Ezekiel Elliott,RB16,,,,27,27.0
29,A.J. Brown,WR10,,,,29,29.5
30,Patrick Mahomes II,QB2,,,,30,30.5
31,Kyle Pitts,TE3,,,,32,32.0
32,Keenan Allen,WR11,,,,31,32.5
33,Michael Pittman Jr.,WR12,,,,38,33.5
34,Justin Herbert,QB3,,,,33,34.0
35,Tee Higgins,WR13,,,,34,35.5
36,Travis Etienne Jr.,RB17,,,,40,36.5
37,Cam Akers,RB18,,,,35,36.5
38,David Montgomery,RB19,,,,37,36.5
39,DJ Moore,WR14,,,,43,41.0
40,George Kittle,TE4,,,,36,42.0
41,Lamar Jackson,QB4,,,,41,42.5
42,Courtland Sutton,WR15,,,,46,43.0
43,Mike Williams,WR16,,,,44,43.5
44,Breece Hall,RB20,,,,39,44.0
45,Terry McLaurin,WR17,,,,42,44.5
46,Diontae Johnson,WR18,,,,49,47.0
47,Elijah Mitchell,RB21,,,,54,48.0
48,Josh Jacobs,RB22,,,,45,49.0
49,Darren Waller,TE5,,,,47,49.0
50,J.K. Dobbins,RB23,,,,51,51.5
51,AJ Dillon,RB24,,,,58,52.0
52,Jaylen Waddle,WR19,,,,50,53.5
53,Kyler Murray,QB5,,,,52,54.0
54,DK Metcalf,WR20,,,,48,54.5
