Rank,Player,POS,MFL,Fantrax,FFC,Sleeper,AVG
55,Jalen Hurts,QB6,,,,61,55.5
56,Joe Burrow,QB7,,,,56,59.5
57,Allen Robinson II,WR21,,,,57,59.5
58,Antonio Gibson,RB25,,,,53,60.0
59,Amon-Ra St. Brown,WR22,,,,69,61.5
60,Dameon Pierce,RB26,,,,83,62.0
61,Dalton Schultz,TE6,,,,59,62.0
62,Brandin Cooks,WR23,,,,65,62.5
63,Marquise Brown,WR24,,,,62,63.0
64,Gabe Davis,WR25,,,,73,64.0
65,Chris Godwin,WR26,,,,63,64.5
66,Clyde Edwards-Helaire,RB27,,,,60,66.5
67,Jerry Jeudy,WR27,,,,55,67.0
68,Darnell Mooney,WR28,,,,77,67.5
69,Michael Thomas,WR29,,,,66,68.5
70,Adam Thielen,WR30,,,,70,69.5
71,Chase Edmonds,RB28,,,,82,70.5
72,JuJu Smith-Schuster,WR31,,,,67,70.5
73,Amari Cooper,WR32,,,,64,72.0
74,T.J. Hockenson,TE7,,,,72,74.5
75,Tom Brady,QB8,,,,74,75.0
76,Russell Wilson,QB9,,,,71,76.0
77,Rashaad Penny,RB29,,,,87,77.5
78,Devin Singletary,RB30,,,,80,77.5
79,Tony Pollard,RB31,,,,84,78.0
80,Damien Harris,RB32,,,,68,79.0
81,Dallas Goedert,TE8,,,,76,79.5
82,Rashod Bateman,WR33,,,,81,79.5
83,Miles Sanders,RB33,,,,75,80.5
84,Cordarrelle Patterson,RB34,,,,79,80.5
85,Kareem Hunt,RB35,,,,78,81.5
86,Rhamondre Stevenson,RB36,,,,95,82.5
87,DeAndre Hopkins,WR34,,,,86,86.5
88,Dak Prescott,QB10,,,,90,87.0
89,Aaron Rodgers,QB11,,,,88,90.5
90,Allen Lazard,WR35,,,,92,91.5
91,DeVonta Smith,WR36,,,,91,91.5
92,Elijah Moore,WR37,,,,96,92.0
93,Hunter Renfrow,WR38,,,,93,94.0
94,Dawson Knox,TE9,,,,85,95.0
95,Kenneth Walker III,RB37,,,,89,95.0
96,Brandon Aiyuk,WR39,,,,97,95.5
97,Drake London,WR40,,,,94,96.5
98,Christian Kirk,WR41,,,,108,98.5
99,Melvin Gordon III,RB38,,,,100,99.0
100,James Cook,RB39,,,,103,100.0
101,Zach Ertz,TE10,,,,98,100.0
102,Matthew Stafford,QB12,,,,102,101.0
103,Robert Woods,WR42,,,,110,103.0
104,Trey Lance,QB13,,,,104,104.0
105,Chris Olave,WR43,,,,101,105.0
106,James Robinson,RB40,,,,113,108.0
107,Derek Carr,QB14,,,,112,109.0
108,Tyler Lockett,WR44,,,,107,109.5
109,Pat Freiermuth,TE11,,,,109,110.0
110,Treylon Burks,WR45,,,,106,111.0
111,Darrell Henderson Jr.,RB41,,,,117,112.5
112,George Pickens,WR46,,,,119,114.5
113,Michael Carter,RB42,,,,116,115.0
114,Cole Kmet,TE12,,,,120,116.5
115,Chase Claypool,WR47,,,,114,118.0
116,Kirk Cousins,QB15,,,,130,118.5
117,Alexander Mattison,RB43,,,,118,119.0
118,Buffalo Bills DST,DST1,,,,105,122.0
119,Kadarius Toney,WR48,,,,127,122.5
120,Justin Tucker,K1,,,,99,123.0
121,Skyy Moore,WR49,,,,121,123.5
122,Nyheim Hines,RB44,,,,131,124.0
123,Tampa Bay Buccaneers DST,DST2,,,,115,128.0
124,Michael Gallup,WR50,,,,137,130.0
125,Kenneth Gainwell,RB45,,,,147,131.0
126,Hunter Henry,TE13,,,,139,134.0
127,Tua Tagovailoa,QB16,,,,144,135.5
128,Julio Jones,WR51,,,,129,135.5
129,Evan McPherson,K2,,,,111,136.0
130,San Francisco 49ers DST,DST3,,,,122,136.0
131,Tyler Allgeier,RB46,,,,141,136.0
132,Rachaad White,RB47,,,,149,136.5
133,Tyler Boyd,WR52,,,,143,136.5
134,Garrett Wilson,WR53,,,,126,137.0
135,Brian Robinson Jr.,RB48,,,,138,138.0
136,Raheem Mostert,RB49,,,,159,139.0
137,Mike Gesicki,TE14,,,,123,139.5
138,Khalil Herbert,RB50,,,,146,140.5
139,Marquez Valdes-Scantling,WR54,,,,125,142.0
140,Daniel Carlson,K3,,,,132,145.0
141,Indianapolis Colts DST,DST4,,,,136,145.0
142,Justin Fields,QB17,,,,165,146.5
143,Jarvis Landry,WR55,,,,150,146.5
144,Los Angeles Rams DST,DST5,,,,124,148.0
145,Jamaal Williams,RB51,,,,166,150.0
146,Jameis Winston,QB18,,,,162,151.0
147,DJ Chark Jr.,WR56,,,,171,152.0
148,Matt Gay,K4,,,,134,152.5
149,Tyler Bass,K5,,,,135,152.5
150,Trevor Lawrence,QB19,,,,169,152.5
151,Romeo Doubs,WR57,,,,154,152.5
152,Irv Smith Jr.,TE15,,,,177,154.5
153,Zamir White,RB52,,,,163,156.0
154,Jahan Dotson,WR58,,,,168,156.5
155,Harrison Butker,K6,,,,128,157.0
156,New Orleans Saints DST,DST6,,,,133,157.5
157,Albert Okwuegbunam,TE16,,,,142,158.0
158,David Njoku,TE17,,,,161,159.0
159,J.D. McKissic,RB53,,,,196,160.5
160,Isaiah Spiller,RB54,,,,140,160.5
161,Russell Gage,WR59,,,,178,161.0
162,DeVante Parker,WR60,,,,164,163.0
163,Matt Ryan,QB20,,,,184,165.0
164,Jakobi Meyers,WR61,,,,197,167.0
165,Robert Tonyan,TE18,,,,183,167.5
166,Isaiah McKenzie,WR62,,,,181,168.0
167,Rondale Moore,WR63,,,,176,168.0
168,Denver Broncos DST,DST7,,,,160,172.0
169,Matt Prater,K7,,,,148,174.5
170,Mecole Hardman Jr.,WR64,,,,186,174.5
171,Dallas Cowboys DST,DST8,,,,158,176.5
172,Mark Ingram II,RB55,,,,170,180.0
173,Mac Jones,QB21,,,,185,180.5
174,Christian Watson,WR65,,,,172,182.5
175,Tyler Higbee,TE19,,,,167,183.0
176,D'Onta Foreman,RB56,,,,188,183.5
177,Noah Fant,TE20,,,,218,185.5
178,Los Angeles Chargers DST,DST9,,,,157,185.5
179,Jeff Wilson Jr.,RB57,,,,207,187.5
180,Brandon McManus,K8,,,,151,188.0
181,Ryan Tannehill,QB22,,,,215,190.0
182,Nico Collins,WR66,,,,216,191.5
183,Pittsburgh Steelers DST,DST10,,,,152,192.5
184,Gerald Everett,TE21,,,,191,192.5
185,Joshua Palmer,WR67,,,,210,194.0
186,Darrel Williams,RB58,,,,223,194.5
187,Baltimore Ravens DST,DST11,,,,156,195.5
188,New England Patriots DST,DST12,,,,173,195.5
189,Baker Mayfield,QB23,,,,206,195.5
190,Mike Davis,RB59,,,,203,195.5
191,Alec Pierce,WR68,,,,217,196.0
192,Jameson Williams,WR69,,,,190,196.0
193,Green Bay Packers DST,DST13,,,,182,197.5
194,Jalen Tolbert,WR70,,,,198,198.0
195,Jared Goff,QB24,,,,233,198.5
196,Wan'Dale Robinson,WR71,,,,209,199.0
197,Younghoe Koo,K9,,,,153,202.0
198,Odell Beckham Jr.,WR72,,,,213,204.5
199,Tyrion Davis-Price,RB60,,,,200,204.5
200,Isaiah Likely,TE22,,,,204,204.5
201,Ryan Succop,K10,,,,179,205.0
202,Daniel Jones,QB25,,,,230,205.0
203,Tennessee Titans DST,DST14,,,,145,205.5
204,Deshaun Watson,QB26,,,,195,206.0
205,Chuba Hubbard,RB61,,,,187,207.5
206,Kenyan Drake,RB62,,,,231,211.0
207,Kenny Pickett,QB27,,,,211,211.0
208,Zach Wilson,QB28,,,,246,211.5
209,Wil Lutz,K11,,,,192,212.0
210,K.J. Osborn,WR73,,,,220,212.0
211,Sammy Watkins,WR74,,,,189,214.0
212,Kenny Golladay,WR75,,,,194,214.0
213,Rodrigo Blankenship,K12,,,,174,215.5
214,Cleveland Browns DST,DST15,,,,208,215.5
215,Miami Dolphins DST,DST16,,,,219,215.5
216,Dustin Hopkins,K13,,,,205,216.0
217,Parris Campbell,WR76,,,,243,217.5
218,Nick Folk,K14,,,,175,218.0
219,Austin Hooper,TE23,,,,212,218.0
220,Isiah Pacheco,RB63,,,,155,155.0
221,Evan Engram,TE24,,,,238,219.0
222,Hayden Hurst,TE25,,,,222,219.0
223,Philadelphia Eagles DST,DST17,,,,193,220.0
224,Eno Benjamin,RB64,,,,228,221.5
225,Kansas City Chiefs DST,DST18,,,,240,224.0
226,KJ Hamler,WR77,,,,214,225.0
227,Carson Wentz,QB29,,,,,169.0
228,Washington Commanders DST,DST19,,,,201,225.5
229,Chosen Anderson,WR78,,,,245,226.0
230,Davis Mills,QB30,,,,,173.0
231,Ronald Jones II,RB65,,,,180,227.5
232,Robbie Gould,K15,,,,199,227.5
233,Marvin Jones Jr.,WR79,,,,235,227.5
234,Dontrell Hilliard,RB66,,,,227,228.0
235,Marcus Mariota,QB31,,,,,183.0
236,Mitch Trubisky,QB32,,,,,187.0
237,Sony Michel,RB67,,,,234,238.5
238,Jacoby Brissett,QB33,,,,,197.0
239,Marlon Mack,RB68,,,,202,202.0
240,Cade York,K16,,,,224,242.0
241,Geno Smith,QB34,,,,,203.0
242,Logan Thomas,TE26,,,,,206.0
243,Gus Edwards,RB69,,,,221,244.0
244,David Bell,WR80,,,,241,244.5
245,Taysom Hill,TE27,,,,229,245.5
246,Minnesota Vikings DST,DST20,,,,237,245.5
247,Ameer Abdullah,RB70,,,,,210.0
248,Jerick McKinnon,RB71,,,,,219.0
249,Greg Joseph,K17,,,,,221.0
250,Myles Gaskin,RB72,,,,,222.0
251,Donovan Peoples-Jones,WR81,,,,247,253.0
252,Cincinnati Bengals DST,DST21,,,,225,257.5
253,Kyle Rudolph,TE28,,,,226,226.0
254,Corey Davis,WR82,,,,,226.0
255,Rex Burkhead,RB73,,,,,230.0
256,Randall Cobb,WR83,,,,232,264.0
257,A.J. Green,WR84,,,,236,265.0
258,Jimmy Garoppolo,QB35,,,,,237.0
259,Ke'Shawn Vaughn,RB74,,,,,238.0
260,Cameron Brate,TE29,,,,242,260.0
261,Van Jefferson,WR85,,,,248,260.0
262,Hassan Haskins,RB75,,,,239,261.5
263,Brevin Jordan,TE30,,,,,240.0
264,Jake Elliott,K18,,,,,241.0
265,Damien Williams,RB76,,,,,242.0
266,Seattle Seahawks DST,DST22,,,,244,244.0
267,Matt Breida,RB77,,,,,244.0
268,Boston Scott,RB78,,,,,245.0
269,Kendrick Bourne,WR86,,,,,246.0
270,Drew Stanton,QB36,,,,249,249.0
271,D'Ernest Johnson,RB79,,,,,249.0
272,Corey Clement,RB80,,,,250,250.0
273,Algernon Brown,RB81,,,,251,251.0
274,Jake Wieneke,WR87,,,,252,252.0
275,Desmond Ridder,QB37,,,,,252.0
276,Davon Grayson,WR88,,,,253,253.0
277,Joshua Kelley,RB82,,,,,253.0
278,Lenard Tillery,RB83,,,,254,254.0
279,Terrell Sinkfield,WR89,,,,255,255.0
280,Malik Willis,QB38,,,,,255.0
281,Rajion Neal,RB84,,,,256,256.0
282,Dominick Wood-Anderson,TE31,,,,257,257.0
283,Vance McDonald,TE32,,,,258,258.0
284,Chris Boswell,K19,,,,,258.0
285,I'Tavius Mathers,RB85,,,,259,259.0
286,Jake Kumerow,WR90,,,,261,261.0
287,Vincent Testaverde,QB39,,,,262,262.0
288,Paxton Lynch,QB40,,,,263,263.0
289,Jaylen Warren,RB86,,,,,263.0
290,Arizona Cardinals DST,DST23,,,,,264.0
291,Senorise Perry,RB87,,,,264,264.0
292,Alex Tanney,QB41,,,,265,265.0
293,Samaje Perine,RB88,,,,,265.0
294,Adam Prentice,RB89,,,,266,266.0
295,Mike Weber,RB90,,,,267,267.0
296,Jordan Mason,RB91,,,,,268.0
297,Racey McMath,WR91,,,,268,268.0
298,Julian Edelman,WR92,,,,269,269.0
299,Braxton Berrios,WR93,,,,,269.0
300,Zach Line,RB92,,,,270,270.0
301,Mo Alie-Cox,TE33,,,,,270.0
302,Josh McCown,QB42,,,,271,271.0
303,Laviska Shenault Jr.,WR94,,,,,271.0
304,Jimmy Graham,TE34,,,,272,272.0
305,Zay Jones,WR95,,,,,273.0
306,T.J. Simmons,WR96,,,,273,273.0
307,Devin Duvernay,WR97,,,,,274.0
308,Ryan Willis,QB43,,,,274,274.0
309,Wilton Speight,QB44,,,,275,275.0
310,Carolina Panthers DST,DST24,,,,,276.0
311,Kehinde Oginni Hassan,TE35,,,,276,276.0
312,David Fluellen,RB93,,,,277,277.0
313,Sterling Shepard,WR98,,,,,277.0
314,Darren Sproles,RB94,,,,278,278.0
315,Chris Evans,RB95,,,,,279.0
316,Leroy Watson,TE36,,,,279,279.0
317,Quez Watkins,WR99,,,,,280.0
318,Chris Streveler,QB45,,,,280,280.0
319,J.T. Barrett,QB46,,,,281,281.0
320,Marquez Callaway,WR100,,,,,281.0
321,Chicago Bears DST,DST25,,,,,282.0
322,Jason Sanders,K20,,,,,283.0
323,Curtis Samuel,WR101,,,,,285.0
324,Kyren Williams,RB96,,,,,286.0
325,C.J. Uzomah,TE37,,,,,287.0
326,Zack Moss,RB97,,,,,288.0
327,Kyle Philips,WR102,,,,,289.0
328,Drew Lock,QB47,,,,,291.0
329,Jonnu Smith,TE38,,,,,292.0
330,Terrace Marshall Jr.,WR103,,,,,293.0
331,Byron Pringle,WR104,,,,,295.0
332,Daniel Bellinger,TE39,,,,,297.0
333,William Fuller V,WR105,,,,,298.0
334,Kyle Juszczyk,RB98,,,,,299.0
335,Jamison Crowder,WR106,,,,,300.0
336,Cedrick Wilson Jr.,WR107,,,,,301.0
337,Olamide Zaccheaus,WR108,,,,,302.0
338,Nelson Agholor,WR109,,,,,303.0
339,Trey Sermon,RB99,,,,,304.0
340,T.Y. Hilton,WR110,,,,,305.0
341,Velus Jones Jr.,WR111,,,,,306.0
342,Adam Trautman,TE40,,,,,307.0
343,Bryan Edwards,WR112,,,,,308.0
